ISO,MID,Merchant Reference ID,Original Transaction ID,Exception ID,Exception type,Exception Code,Exception Description,Exception Date,Action-Status,Status Date,Days Open,Network Transaction ID,Original Creation Date,Original Processed Date,Original Transaction Type,Exception Source,Exception Destination,Exception Network,Last 4,Original Settled Amount,Exception Settled Amount,TabaPay Fee,Network Fee,Interchange,Memo,CB ID,Firstname,Lastname,Network ID
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4837,No Cardholder Authorization-9106386774UNAUTHORIZED CHARGE,4/25/2022,Open - Merchant debited,4/25/2022,0,,4/21/2022,4/21/2022,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,10.4,Other Fraud - Card Absent Environment-CHARGEBACK,4/24/2022,Open - Merchant debited,4/24/2022,1 day,,3/27/2022,3/27/2022,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.7,Cancelled Merchandise/Services-CHARGEBACK,11/30/2021,Closed,11/30/2021,146 days,,10/22/2021,10/22/2021,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4853,Cardholder Dispute- Defective/Not as Described-CHARGEBACK,12/1/2021,Closed,12/1/2021,145 days,,11/23/2021,11/23/2021,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4837,No Cardholder Authorization-CHARGEBACK,12/1/2021,Closed,12/1/2021,145 days,,11/2/2021,11/2/2021,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4860,Credit Not Processed-CHARGEBACK,12/2/2021,Closed,12/2/2021,144 days,,11/14/2021,11/14/2021,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.2,Cancelled Recurring Transaction-CHARGEBACK,12/5/2021,Closed,12/5/2021,141 days,,12/4/2021,12/4/2021,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4834,Duplicate Processing-CHARGEBACK,12/18/2021,Closed,12/18/2021,128 days,,12/9/2021,12/9/2021,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,40,SERVICES NOT AS DESCRIBED  TRANSACTION CANCELLED  ACCT STILL-CHARGEBACK,1/4/2022,Open - Merchant debited,1/4/2022,111 days,,10/8/2021,10/8/2021,Purchase,Settlement,STAR,STAR,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,40,SERVICES NOT AS DESCRIBED  TRANSACTION CANCELLED  ACCT STIL-CHARGEBACK,1/4/2022,Open - Merchant debited,1/4/2022,111 days,,12/3/2021,12/3/2021,Purchase,Settlement,STAR,STAR,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,4841,Cancelled Recuriing Transaction-CHARGEBACK,2/1/2022,Open - Merchant debited,2/1/2022,83 days,,1/9/2022,1/9/2022,Purchase,Settlement,Mastercard,Mastercard,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,60,Ch did not authorize  if denied fax doc to 6026431890.-CHARGEBACK,2/18/2022,Open - Merchant debited,2/18/2022,66 days,,2/15/2022,2/15/2022,Purchase,Settlement,STAR,STAR,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,40,EF 04/08/2022  FRS 04/11/2022 F member didnt make this purc-CHARGEBACK,4/14/2022,Open - Merchant debited,4/14/2022,11 days,,4/5/2022,4/5/2022,Purchase,Settlement,STAR,STAR,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.1,Services Not Provided or Merchandise Not Received-CHARGEBACK,4/14/2022,Open - Merchant debited,4/14/2022,11 days,,4/14/2022,4/14/2022,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.1,Services Not Provided or Merchandise Not Received-CHARGEBACK,4/14/2022,Open - Merchant debited,4/14/2022,11 days,,4/14/2022,4/14/2022,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.1,Services Not Provided or Merchandise Not Received-CHARGEBACK,4/14/2022,Open - Merchant debited,4/14/2022,11 days,,4/14/2022,4/14/2022,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
ISO,MID,aaa,aaa,caaa,CHARGEBACK,13.1,Services Not Provided or Merchandise Not Received-CHARGEBACK,4/14/2022,Open - Merchant debited,4/14/2022,11 days,,4/14/2022,4/14/2022,Purchase,Settlement,Visa,Visa,,,,,,,,,,,
