mockxago-test  | INFO: 2026/02/23 09:32:32 Initialized in-memory storage
mockxago-test  | INFO: 2026/02/23 09:32:32 Starting MockXago server on port 8080
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=67a1f009-0fa7-4845-94b3-b5c54d2bf701
mockxago-test  | INFO: 2026/02/23 09:32:32 Failed login attempt with public_key=invalid_public_key
mockxago-test  | INFO: 2026/02/23 09:32:32 Failed login attempt with public_key=test_public_key_12345
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=5634702d-75d3-4e5d-8082-16266f3ef64f
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=67ea6fab-eef0-46fb-8732-cad8fad744bd
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=622801c5-74f1-414a-9321-288c91c0c13e
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=15825614-b78b-444a-a134-b3f2e10a1d40
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=1254c262-87f7-4483-937b-91fdc2740e6d
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=c0d2f59b-2ce5-41ca-b0cc-8209b66c822a
mockxago-test  | WARN: 2026/02/23 09:32:32 WEBHOOK_URL not configured, skipping webhook for wallet wallet_bal_test
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=dbd5185e-879f-45ba-8861-a4fbcc115c0a
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=25ae60ca-6710-4760-9eca-6da06ae5b9cc
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=f9ba6c8e-4a9f-45fa-9f2d-9f7a7c9d3d75
mockxago-test  | INFO: 2026/02/23 09:32:32 Successful login with public_key=test_public_key_12345, issued token=b877351b-a39f-4c7d-8109-dc26a64bcc39
